Date, Employee Code ,Employee Name,Company ,Department,Category ,Degination,Grade,Team,Shift, In Time ,Out Time , Duration ,Late By ,Early By ,Status ,Punch Records ,Overtime
2024-01-22,58,58,Default,Default,Default,,,,Sam,00:50,,00:00,00:00,00:00,Absent (No OutPunch),00:50:in(TD) ,00:00
2024-01-22,59,59,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,60,60,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,61,61,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,62,62,Default,Default,Default,,,,Sam,00:53,,00:00,00:00,00:00,Absent (No OutPunch),00:53:in(TD) ,00:00
2024-01-22,63,63,Default,Default,Default,,,,Sam,00:54,,00:00,00:00,00:00,Absent (No OutPunch),00:54:in(TD) ,00:00
2024-01-22,64,64,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,65,65,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,66,66,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,67,67,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,68,68,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,69,69,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,70,70,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,71,71,Default,Default,Default,,,,Sam,01:01,,00:00,00:00,00:00,Absent (No OutPunch),01:01:in(TD) ,00:00
2024-01-22,72,72,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,73,73,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,74,74,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,75,75,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,76,76,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,77,77,Default,Default,Default,,,,Sam,00:51,,00:00,00:00,00:00,Absent (No OutPunch),00:51:in(TD) ,00:00
