1	22-07-2022 02:28	1	0	1	0
2	13-10-2022 05:26	1	0	1	0
3	13-10-2022 05:27	1	0	1	0
4	13-10-2022 05:29	1	0	1	0
5	13-10-2022 07:26	1	0	1	0
6	16-10-2022 21:11	1	0	1	0
3	16-10-2022 22:20	1	0	1	0
4	16-10-2022 22:20	1	0	1	0
6	17-10-2022 22:49	1	0	1	0
2	17-10-2022 22:49	1	0	1	0
4	17-10-2022 23:01	1	0	1	0
4	18-10-2022 06:03	1	0	1	0
6	18-10-2022 06:46	1	0	1	0
2	18-10-2022 07:06	1	0	1	0
5	18-10-2022 07:07	1	0	1	0
2	18-10-2022 18:19	1	0	1	0
2	18-10-2022 18:19	1	0	1	0
5	18-10-2022 18:44	1	0	1	0
6	18-10-2022 19:25	1	0	1	0
3	18-10-2022 21:02	1	0	1	0
3	19-10-2022 00:07	1	0	1	0
3	19-10-2022 00:07	1	0	1	0
3	19-10-2022 03:48	1	0	1	0
3	19-10-2022 06:07	1	0	1	0
4	19-10-2022 06:38	1	0	1	0
4	19-10-2022 06:38	1	0	1	0
2	19-10-2022 07:22	1	0	1	0
5	19-10-2022 07:22	1	0	1	0
5	19-10-2022 18:18	1	0	1	0
2	19-10-2022 18:35	1	0	1	0
3	20-10-2022 06:12	1	0	1	0
3	20-10-2022 06:12	1	0	1	0
3	20-10-2022 06:13	1	0	1	0
3	20-10-2022 06:13	1	0	1	0
3	20-10-2022 06:13	1	0	1	0
3	20-10-2022 06:13	1	0	1	0
6	20-10-2022 06:56	1	0	1	0
6	20-10-2022 06:56	1	0	1	0
2	20-10-2022 10:32	1	0	1	0
5	20-10-2022 10:32	1	0	1	0
2	20-10-2022 18:17	1	0	1	0
2	20-10-2022 18:17	1	0	1	0
3	20-10-2022 18:50	1	0	1	0
5	20-10-2022 18:53	1	0	1	0
6	20-10-2022 19:10	1	0	1	0
4	20-10-2022 21:08	1	0	1	0
3	21-10-2022 06:12	1	0	1	0
3	21-10-2022 06:12	1	0	1	0
6	21-10-2022 06:42	1	0	1	0
4	21-10-2022 06:56	1	0	1	0
2	21-10-2022 07:23	1	0	1	0
5	21-10-2022 07:23	1	0	1	0
2	21-10-2022 14:38	1	0	1	0
5	21-10-2022 14:38	1	0	1	0
2	21-10-2022 18:24	1	0	1	0
2	21-10-2022 18:24	1	0	1	0
5	21-10-2022 18:49	1	0	1	0
3	21-10-2022 18:50	1	0	1	0
6	21-10-2022 19:22	1	0	1	0
4	21-10-2022 21:13	1	0	1	0
3	22-10-2022 00:09	1	0	1	0
3	22-10-2022 04:25	1	0	1	0
6	22-10-2022 06:30	1	0	1	0
3	22-10-2022 06:30	1	0	1	0
3	22-10-2022 06:30	1	0	1	0
3	22-10-2022 06:30	1	0	1	0
4	22-10-2022 06:50	1	0	1	0
2	22-10-2022 09:16	1	0	1	0
5	22-10-2022 09:16	1	0	1	0
2	22-10-2022 14:26	1	0	1	0
5	22-10-2022 14:27	1	0	1	0
2	22-10-2022 18:17	1	0	1	0
5	22-10-2022 18:56	1	0	1	0
3	22-10-2022 18:57	1	0	1	0
2	22-10-2022 21:37	1	0	1	0
